65		80674		Recomendo		806749		1		
81		25289		Surrey		252891		2		
76		63336		Phan		633362		3		
92		341853		Rajin		1709266		4		
59		2115		Lesbian		21155		5		
110		379676		piscesmama		1898383		6		
78		66353		Patricia		663530		7		
101		50658		Oo		506589		8		
76		255		Dulay		2556		9		
96		20889		SAVO		208895		10		
108		35401		andreidore		354016		11		
68		55772		Dj		557727		12		
59		217237		Alfred		1086188		13		
90		25166		Minock		251660		14		
108		369513		Shidabear		1847565		15		
68		9073		Manong		90730		16		
74		56444		msritter		564449		17		
66		4017		Leslie		40171		18		
65		2056		Solomon		20566		19		
84		376180		Sabadini		1880903		20		
107		13423		Ecards		134230		21		
74		3086		Natchapan		30862		22		
116		205574		Stephen		1027870		23		
72		40347		Leal		403477		24		
101		6072		Navarro		60723		25		
78		56272		HitmanDiz		562726		26		
61		6800		Luther		68000		27		
78		1263		J		12638		28		
89		50373		Shao		503732		29		
97		860320		jokers		2867735		30		
70		9419		shzad		94194		31		
73		484		Zurie		4840		32		
72		56230		tekkonkinkuri		562301		33		
63		11006		Isabele		110062		34		
70		12610		Josh		126103		35		
99		66947		Leo		669473		36		
78		3377		StHallettWines		33772		37		
83		37214		Sai		372147		38		
61		27461		Lentini		274616		39		
112		96785		Athar		967854		40		
106		55444		Medusa		554449		41		
88		3957		Six		39578		42		
87		56230		TBC		562301		43		
93		71759		Capcara		717591		44		
120		18518		Harriet		185183		45		
50		2055		Lee		20557		46		
86		2637		i		26371		47		
96		11653		Hache		116534		48		
95		79646		Parker		796464		49		
45		29691		Mar		296912		50		
67		3564		Andy		35647		51		
87		228861		Campbell		1144306		52		
78		1299		Yo		12998		53		
73		36188		uno		361889		54		
70		19675		Kaufman		196759		55		
73		262		paranacine		2621		56		
33		5805		Watson		58059		57		
70		73919		megatest		739195		58		
96		68074		Mogwai		680743		59		
68		4859		corredor		48595		60		
99		23537		piscesmama		235372		61		
89		72016		Petite		720163		62		
108		274430		Andrade		1372154		63		
99		1053		welch		10531		64		
68		60245		Omar		602453		65		
76		82033		Murda		820335		66		
73		25		Ann		257		67		
87		9956		H		99566		68		
66		2873		Man		28737		69		
79		36395		Connie		363950		70		
68		18434		scene		184345		71		
74		94352		Nazirah		943522		72		
86		12531		Costello		125314		73		
70		19297		Amos		192974		74		
61		15364		Irisys		153643		75		
73		623367		Th		2077893		76		
68		286505		CSS		1432528		77		
75		63803		Desroses		638030		78		
47		20094		Anthony		200943		79		
64		67020		Badley		670203		80		
83		36367		track		363671		81		
57		18025		I		180256		82		
98		381465		its		1907326		83		
81		15272		Darius		152724		84		
61		37838		Lianne		378386		85		
98		534		Segundo		5345		86		
60		297621		SEVENth		1488109		87		
82		309168		upenzi		1545844		88		
99		8733		Lorna		87334		89		
78		8196		Turner		81967		90		
67		347		Vincentius		3476		91		
35		1062		KITECH		10621		92		
64		589		Modzelewski		5899		93		
79		45495		ALS		454952		94		
43		24874		Rooney		248747		95		
94		72660		Emily		726604		96		
56		1366		Kotarski		13664		97		
61		32893		YoungMinds		328932		98		
98		7855		Rozencwajg		78556		99		
66		76974		Ignacio		769740		100		
119		20270		Whitfield		202706		101		
48		10152		YODASON		101523		102		
100		94285		Harville		942853		103		
74		242783		North		1213917		104		
82		16161		devops		161612		105		
50		303338		Ansani		1516694		106		
67		12818		Ali		128188		107		
44		12084		Clint		120849		108		
76		42715		Edison		427158		109		
64		1411		its		14119		110		
105		28189		Aika		281899		111		
116		25966		Alam		259669		112		
72		35180		Roca		351805		113		
74		48619		Dale		486197		114		
94		54727		Marcelo		547275		115		
110		326188		Sato		1630940		116		
80		141		Vito		1418		117		
64		13492		Murda		134923		118		
88		86941		jmaza		869418		119		
81		45266		Salt		452661		120		
48		60343		Issei		603430		121		
61		13119		Pretty		131192		122		
115		15750		Mark		157505		123		
51		30112		English		301123		124		
42		25396		Marisol		253967		125		
88		21449		Naleem		214494		126		
56		15937		Wei		159379		127		
120		74540		Enchante		745409		128		
90		25141		Oren		251414		129		
84		51366		Solomon		513669		130		
63		1407		Arnold		14070		131		
81		38786		pin		387867		132		
104		39625		Roberts		396258		133		
26		121		Luc		1212		134		
27		58		Center		586		135		
61		790227		Champ		2634091		136		
81		18555		Amira		185551		137		
103		3503		Lehane		35039		138		
58		337379		Ann		1686896		139		
65		97186		IH		971867		140		
89		29344		Krabbendam		293444		141		
50		367		Leo		3673		142		
82		608765		Joy		2029219		143		
61		2919		silk		29196		144		
66		39358		Kaboli		393586		145		
96		38726		delma		387262		146		
91		42759		Caruso		427594		147		
72		5348		TBC		53480		148		
94		45516		Ausberto		455160		149		
78		76751		Angeles		767517		150		
81		32850		o		328504		151		
108		3852		Erick		38523		152		
99		81194		Ripoll		811947		153		
84		70056		JR		700561		154		
68		27555		Lior		275556		155		
70		31904		Raphael		319049		156		
95		215619		Will		1078099		157		
61		5617		Deborah		56178		158		
51		39387		Horrell		393876		159		
97		8970		Woodward		89709		160		
68		41537		v		415372		161		
99		29532		Melissa		295329		162		
91		13824		Veros		138243		163		
141		7676		srizzle		76761		164		
101		79970		Janxi		799708		165		
62		36581		hattie		365810		166		
65		249736		Caponera		1248684		167		
68		310761		Noel		1553809		168		
55		10170		Internet		101708		169		
100		27250		Margarita		272506		170		
72		12225		iAcceso		122251		171		
91		45781		Shambler		457813		172		
65		16642		Sandra		166428		173		
67		44844		DelDuca		448440		174		
91		20872		Pat		208723		175		
79		45034		Win		450347		176		
68		27690		Philadelphia		276906		177		
80		36713		sensor		367131		178		
67		23001		Flannery		230012		179		
107		4958		Shidabear		49581		180		
92		31361		Thompson		313615		181		
70		22851		KZ		228516		182		
31		17755		Jayhawk		177553		183		
49		14219		Mercades		142190		184		
71		1689		StHallettWines		16895		185		
57		1311		This		13115		186		
59		96541		Hirschy		965417		187		
110		55676		Garcia		556763		188		
93		86224		Higa		862243		189		
114		8205		Network		82052		190		
84		19499		its		194995		191		
88		575		Ergan		5758		192		
96		2479		track		24797		193		
72		26803		Buzz		268030		194		
95		4998		Joana		49984		195		
79		1334		YT		13345		196		
102		14742		d		147427		197		
91		14666		McCrae		146663		198		
50		23257		tips		232577		199		
75		845		December		8459		200		
92		4426		Arnold		44261		201		
70		43		Torres		437		202		
105		72137		Collier		721375		203		
67		5966		corredor		59665		204		
73		1181		Siobhan		11817		205		
66		89768		Darius		897686		206		
87		32578		CristalOnAir		325780		207		
85		9374		Quarles		93740		208		
76		21077		Bedford		210774		209		
106		650943		to		2169810		210		
79		4866		McNeill		48664		211		
59		1823		Syazwan		18230		212		
32		20217		Puisi		202177		213		
83		754		Za		7544		214		
80		56881		Janxi		568818		215		
82		10972		Six		109728		216		
45		57763		Paulo		577634		217		
110		1070		Nasos		10705		218		
